"year","month","fp","NET","lEUA","euindout2","exc2","FreightIndex"
2005,5,"1",286998336,2.98568193770049,99,1.2938,3219
2005,6,"1",209106368,3.24063731664971,99.8000030517578,1.2694,2521
2005,7,"1",121263744,3.10144272797611,100.199996948242,1.2165,1804
2005,8,"1",172599360,3.16336311493794,99.4000015258789,1.2037,2592
2005,9,"1",206060096,3.12015985192904,100.699996948242,1.2292,2907
2005,10,"1",303526016,3.08876713952118,100.900001525879,1.2256,3113
2005,11,"1",273251392,2.97552956623647,102.099998474121,1.2015,2770
2005,12,"1",192427712,3.04927304048202,101.5,1.1786,2407
2006,1,"1",504938112,3.26001776819938,101.900001525879,1.1856,2081
2006,2,"1",457530752,3.2561716096119,101.800003051758,1.2103,2680
2006,3,"1",585567872,3.29398329735501,102.400001525879,1.1938,2496
2006,4,"1",473318464,2.58776403522771,103.099998474121,1.202,2368
2006,5,"1",670493632,2.83615020372953,104.800003051758,1.2271,2436
2006,6,"1",624394048,2.75047091698616,104.800003051758,1.277,2964
2006,7,"1",638469888,2.77570884957602,104.5,1.265,3285
2006,8,"1",441272384,2.76000994003292,104.900001525879,1.2684,3847
2006,9,"1",564090176,2.55334381134123,105.099998474121,1.2811,3944
2006,10,"1",570115520,2.39789527279837,105.300003051758,1.2727,4037
2006,11,"1",598879104,2.09186406167839,106.300003051758,1.2611,4336
2006,12,"1",520668224,1.86408013080768,108.400001525879,1.2881,4397
2007,1,"1",809446400,0.832909122935104,107.400001525879,1.3213,4225
2007,2,"1",760368768,0.576613364303994,108.099998474121,1.2999,4765
2007,3,"1",881873600,0.231111720963387,108.5,1.3074,5388
2007,4,"1",803489344,-0.371063681390832,107.199996948242,1.3242,6248
2007,5,"1",936132032,-0.371063681390832,108.599998474121,1.3516,5971
2007,6,"1",799955840,-2.12026353620009,108.599998474121,1.3511,6278
2007,7,"1",770111232,3.05163990549229,108.900001525879,1.3419,6967
2007,8,"1",646574016,2.96527306606928,109.5,1.3716,7702
2007,9,"1",646364800,3.07639017657145,109,1.3622,9474
2007,10,"1",711308160,3.10324048126928,109.900001525879,1.3896,10656
2007,11,"1",596807040,3.10682632105958,109.5,1.4227,10210
2007,12,"1",423146752,3.10950728781284,109.800003051758,1.4684,9143
2008,1,"2",691159552,2.94968833505258,111.199996948242,1.457,6052
2008,2,"2",510241920,3.05917644611053,111.300003051758,1.4718,7613
2008,3,"2",588807744,3.10324048126928,110.199996948242,1.4748,8081
2008,4,"2",634669760,3.1730412885244,110.900001525879,1.5527,9356
